iter	RMSE
0	810.5886698
1	551.9936064
2	375.6385999
3	259.6520233
4	183.5494127
5	133.0121467
6	102.2116722
7	83.42048247
8	71.85444862
9	64.73132737
10	58.82583449
11	55.76120943
12	53.20069901
13	50.84546086
14	49.46664771
15	47.651749
16	46.22459997
17	45.39143528
18	44.58105637
19	43.63796015
20	43.05884251
21	42.11401426
22	41.62453379
23	41.10783616
24	40.46030887
25	39.93137937
26	39.15614265
27	38.55899125
28	38.29624672
29	37.90943656
30	37.45998452
31	37.01564564
32	36.80605476
33	35.6165008
34	35.14785967
35	35.0082618
36	34.70271975
37	34.37356105
38	34.18152903
39	34.01811705
40	33.3877678
41	32.75233849
42	32.70080492
43	32.19604362
44	31.94231291
45	31.59496783
46	31.46054089
47	31.36225614
48	31.18098561
49	31.0495315
50	30.90463375
51	30.767126
52	30.60307675
53	30.52626976
54	30.24385324
55	30.08635839
56	29.66204134
57	29.56799117
58	29.44195674
59	29.32942069
60	29.01106832
61	28.75187404
62	28.58673853
63	28.22844343
64	28.11786676
65	27.99285065
66	27.94982058
67	27.67790329
68	27.62056294
69	27.60427298
70	27.43443681
71	27.33891091
72	27.28078036
73	27.15174197
74	26.93268448
75	26.86294705
76	26.75897489
77	26.6940419
78	26.64601079
79	26.52973915
80	26.35214391
81	26.20709606
82	26.12453168
83	26.05200752
84	26.00315007
85	25.91797739
86	25.87315426
87	25.83029214
88	25.80288477
89	25.76208377
90	25.69828146
91	25.59809412
92	25.53061635
93	25.36828684
94	25.24796265
95	25.18551486
96	25.11659244
97	24.93869104
98	24.8792779
99	24.82153279
