Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,25.48287010192871,25.675435377540197,24.85702989544097,24.85702989544097,212976
2002-08-13,25.137853622436523,25.924165257885793,24.953312419992415,25.514962538770376,153576
2002-08-14,23.404769897460938,25.1940261921785,22.93137700057437,25.1940261921785,822776
2002-08-15,23.404769897460938,23.404769897460938,23.404769897460938,23.404769897460938,0
2002-08-16,23.348608016967773,24.391672979925094,22.947429185061107,23.284420383303214,811856
2002-08-19,22.770898818969727,23.541162303984795,22.554263820703067,23.541162303984795,205880
2002-08-20,23.404769897460938,24.85703505347973,22.778929561106192,22.93137700057437,3773624
2002-08-21,24.552143096923828,25.161935375979418,23.444890564150068,24.696566488641754,3011064
2002-08-22,25.611265182495117,26.686424280246296,25.234155989538166,25.362533743434277,6732480
2002-08-23,27.151782989501953,28.002282607117465,25.52299790325626,25.835916903988036,4841672
2002-08-26,27.05550765991211,27.761581587909536,26.838870061143755,27.58506188160926,2576912
2002-08-27,26.381515502929688,28.403457526639304,26.15685636634015,27.280156946489726,3694224
2002-08-28,26.405588150024414,26.70245898211914,25.8599835326108,26.30128019663898,1674960
2002-08-29,26.405588150024414,26.878978627170806,26.156856813306515,26.24511663583235,1236544
2002-08-30,28.27509117126465,28.965119437047665,26.47781001170562,26.485834080217433,3762384
2002-09-02,28.563932418823242,29.510713468995426,28.275083174305905,28.72440394926607,2389568
2002-09-03,27.2240047454834,28.84476881258555,26.959227596741986,28.724415117957236,986784
2002-09-04,27.81773567199707,28.082512669151615,26.566057474737587,26.87897641190226,1449856
2002-09-05,27.649250030517578,28.796620694818646,27.28016495609711,28.668242958246093,1061360
2002-09-06,26.622220993041992,27.76156962772416,26.325350185836623,27.76156962772416,907472
2002-09-09,26.27720069885254,27.400500881398905,25.354489834618022,25.354489834618022,880848
2002-09-10,26.27720069885254,26.27720069885254,26.27720069885254,26.27720069885254,0
2002-09-11,26.943178176879883,27.408547243142554,26.421645524955867,26.421645524955867,635936
2002-09-12,27.07957649230957,27.74553250512419,26.895035172691568,27.272141879867867,781968
2002-09-13,26.309307098388672,27.103640689553686,26.08464793374041,26.132789882908252,338264
2002-09-16,25.79580307006836,26.702466397600546,25.59521362162304,26.558042974160582,288592
2002-09-17,26.550018310546875,26.71851393317914,26.172911625095406,26.26116902154894,462952
2002-09-18,25.731618881225586,26.477810750199502,25.51498126837407,26.397574960047383,315432
2002-09-19,25.514970779418945,26.365470295119774,25.194027750747008,25.514970779418945,490848
2002-09-20,25.09774398803711,25.466828962573153,24.495975806272142,24.600283760272003,501072
2002-09-23,24.67250633239746,25.33846243444898,24.56820078100214,25.274274779529105,248504
2002-09-24,23.83803939819336,24.5842308181096,23.573259980874305,24.5842308181096,267912
2002-09-25,24.02259063720703,24.23120414272564,23.1079032884271,23.2844229735432,379544
2002-09-26,24.399690628051758,24.78482122593473,24.231195073252724,24.520044245965266,178136
2002-09-27,24.696569442749023,25.03356066186859,24.319462786554805,24.319462786554805,206288
2002-09-30,23.79793357849121,24.69657287330262,23.284425060227296,24.31946616472523,202232
2002-10-01,23.59734535217285,24.231207577220832,23.188142350386823,23.910264430502675,240192
